mood,Pytanie_otwarte,URL,Device type,System,Browser,,,oceny,wystąpień,% odpowiedzi,,,,,Desktop,Telefon,Tablet,Nieznane
1,dokładniejsze wyszukiwanie i likwidacja oszołomów którzy wystawiają jeden produkt (artykuł)  kilkadziesiąt razy,https://allegro.pl/drukarki-i-skanery-4578?string=proszek%20do%20tonera%20drukarki%20laserowej%20hp&order=p&bmatch=base-relevance-floki-5-nga-ele-1-3-0403,Desktop,Win7,Firefox 52.0,,,1,893,24%,średnia,2.98,,1,774,39,78,2
1,,https://allegro.pl/listing?string=rama%2015%20x%2021%20szk%C5%82o&order=m&bmatch=s0-uni-1-4-0222,Desktop,WinXP,Firefox 52.0,,,2,538,14%,mediana,3,,2,338,150,50,0
1,,https://allegro.pl/listing?string=skuter%20tr%C3%B3jko%C5%82owy%20spalinowy&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,3,499,13%,dominanta,#NAME?,,3,365,78,56,0
1,Musialo by mi się wyświetlić to czego szukałam..,https://allegro.pl/listing?string=White%20Permanent%20Marker&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win7,Chrome 57.0.2987.133,,,4,1327,36%,,,,4,984,237,105,1
1,,https://allegro.pl/listing?string=dlugosc%20paska%20klinowy%20renault%20%20megane&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Opera 43.0.2442.1144,,,5,455,12%,,,,5,315,99,41,0
1,"Niestety widzę tylko łysa głowę,https://allegro.pl/listing?string=odbitki&order=m&bmatch=base-relevance-floki-5-nga-ele-1-3-0403",https://allegro.pl/listing?string=sweethomedecor&order=m&bmatch=base-relevance-floki-5-nga-odz-1-3-0222,Desktop,Win10,Chrome 57.0.2987.133,,,razem,3712,,,,,razem,2776,603,330,3
1,,https://allegro.pl/odziez-meska-1455?string=bluza%20francuski%20w%20paski&order=m&bmatch=base-relevance-floki-5-nga-odz-1-3-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,musiałabym znaleźć towar,https://allegro.pl/odziez-meska-1455?string=bluza%20francuski%20w%20paski&order=m&bmatch=base-relevance-floki-5-nga-odz-1-3-0222,Desktop,Win7,IE 11,,,,,,,,,,,,,
1,Lepsza trafność.,https://allegro.pl/listing?string=redukcja%20cu%2042&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Firefox 45.0,,,,,,,,,,,,,
1,znalezienie tego czego szukałem a nie innych rzeczy,https://allegro.pl/listing?string=kluczyk%20do%20dystrybutora%20papieru&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Opera 31.0.1889.230,,,,,,,,,,,,,
1,musiałoby pojawić się to co wpuisałem w wyszukiwarce,https://allegro.pl/listing?string=farba%20motocyklowa%20czarny%20mat&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/dom-i-ogrod?string=zawiasy%20do%20szafek%20kuchennych&order=m&bmatch=base-relevance-floki-5-nga-hou-1-2-0203,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
